order_id,customer_id,order_date,payment_method,order_status
10111,471,05-10-2022,Credit Card,Cancelled
10112,826,11-09-2023,COD,Delivered
10113,888,01-01-2022,UPI,Delivered
10114,423,04-12-2022,Wallet,Delivered
10115,901,01-04-2023,UPI,Delivered
10116,65,01-06-2023,Credit Card,Delivered
10117,13,07-04-2023,Credit Card,Delivered
10118,213,07-12-2022,COD,Shipped
10119,986,17-09-2023,COD,Delivered
10120,242,13-01-2023,Credit Card,Cancelled
10121,493,08-03-2023,Wallet,Shipped
10122,213,24-02-2023,UPI,Delivered
10123,693,22-05-2022,Debit Card,Delivered
10124,338,26-02-2022,COD,Delivered
10125,997,13-08-2022,Debit Card,Shipped
10126,173,30-03-2022,Wallet,Shipped
10127,672,20-04-2022,COD,Delivered
10128,164,04-04-2023,Debit Card,Returned
10129,465,12-01-2022,Wallet,Delivered
10130,995,20-08-2023,UPI,Shipped
10131,497,17-05-2023,Wallet,Shipped
10132,700,06-01-2022,COD,Delivered
10133,395,27-06-2022,Credit Card,Delivered
10134,703,19-11-2022,UPI,Delivered
10135,917,15-11-2022,Debit Card,Delivered
10136,308,26-06-2022,COD,Cancelled
10137,768,24-12-2022,Credit Card,Delivered
10138,183,23-03-2023,Wallet,Delivered
10139,629,31-05-2022,Credit Card,Delivered
10140,794,29-08-2022,COD,Shipped
10141,510,10-06-2022,COD,Delivered
10142,708,27-03-2022,Credit Card,Delivered
10143,546,05-04-2023,Wallet,Delivered
10144,564,05-03-2022,Credit Card,Shipped
10145,624,26-01-2023,COD,Cancelled
10146,764,15-09-2022,COD,Delivered
10147,594,11-11-2023,Debit Card,Delivered
10148,744,06-01-2022,Debit Card,Delivered
10149,227,08-11-2023,UPI,Delivered
10150,745,11-08-2023,COD,Delivered
10151,733,09-01-2022,Debit Card,Shipped
10152,436,12-07-2023,Credit Card,Delivered
10153,925,28-10-2023,Wallet,Cancelled
10154,422,01-11-2022,Credit Card,Delivered
10155,554,30-04-2022,Wallet,Returned
10156,21,18-02-2023,Debit Card,Returned
10157,554,05-12-2022,UPI,Delivered
10158,397,11-06-2023,Credit Card,Delivered
10159,625,15-06-2022,Credit Card,Delivered
10160,105,03-01-2023,Credit Card,Delivered
10161,192,23-09-2023,Wallet,Delivered
10162,17,06-01-2022,Debit Card,Delivered
10163,120,09-06-2023,Credit Card,Shipped
10164,393,06-04-2022,Credit Card,Delivered
10165,425,27-11-2023,UPI,Cancelled
10166,129,21-05-2023,UPI,Delivered
10167,130,12-02-2022,Debit Card,Returned
10168,572,05-09-2023,Debit Card,Delivered
10169,560,29-04-2023,COD,Cancelled
10170,29,10-11-2022,UPI,Delivered
10171,97,10-07-2022,COD,Delivered
10172,10,28-07-2022,Wallet,Delivered
10173,242,21-06-2022,COD,Delivered
10174,826,24-04-2022,Credit Card,Delivered
10175,956,24-01-2022,COD,Delivered
10176,232,10-11-2022,Debit Card,Delivered
10177,789,24-06-2023,Wallet,Cancelled
10178,284,02-01-2023,Credit Card,Delivered
10179,715,02-07-2022,COD,Delivered
10180,759,19-04-2023,Wallet,Returned
10181,802,17-04-2023,Wallet,Delivered
10182,776,09-07-2023,Credit Card,Delivered
10183,955,28-06-2022,COD,Delivered
10184,726,16-08-2023,Wallet,Shipped
10185,200,28-01-2022,Wallet,Cancelled
10186,945,26-02-2023,UPI,Cancelled
10187,79,24-01-2022,Wallet,Delivered
10188,913,19-11-2022,UPI,Returned
10189,956,01-03-2023,COD,Delivered
10190,855,23-08-2023,COD,Delivered
10191,856,27-02-2023,COD,Delivered
10192,173,16-11-2022,Debit Card,Delivered
10193,467,20-04-2023,COD,Delivered
10194,581,03-11-2023,Wallet,Delivered
10195,416,17-08-2022,Credit Card,Delivered
10196,940,08-11-2023,UPI,Delivered
10197,449,03-08-2022,Debit Card,Returned
10198,87,27-03-2022,COD,Delivered
10199,101,01-12-2022,COD,Returned
10200,8,01-12-2023,Credit Card,Delivered
10201,845,03-04-2023,Credit Card,Cancelled
10202,200,12-06-2022,Debit Card,Delivered
10203,505,04-01-2022,UPI,Delivered
10204,87,08-11-2022,COD,Delivered
10205,43,23-02-2023,Debit Card,Delivered
10206,385,07-11-2023,Wallet,Cancelled
10207,621,30-09-2023,Wallet,Delivered
10208,435,02-09-2023,Debit Card,Delivered
10209,408,19-10-2022,COD,Cancelled
10210,483,30-12-2022,Debit Card,Delivered
10211,664,20-04-2022,COD,Delivered
10212,17,09-01-2023,Credit Card,Delivered
10213,645,01-07-2022,Debit Card,Delivered
10214,148,04-09-2023,COD,Delivered
10215,277,20-06-2023,Debit Card,Delivered
10216,232,22-06-2022,Debit Card,Shipped
10217,826,14-04-2023,COD,Delivered
10218,927,22-03-2022,COD,Delivered
10219,366,16-02-2022,UPI,Delivered
10220,228,18-03-2023,Debit Card,Shipped
10221,651,19-01-2022,Wallet,Cancelled
10222,436,02-04-2022,Debit Card,Delivered
10223,399,06-09-2022,Debit Card,Returned
10224,211,14-11-2023,COD,Delivered
10225,391,22-07-2023,Debit Card,Delivered
10226,499,14-04-2023,Debit Card,Delivered
10227,540,03-12-2022,Wallet,Delivered
10228,563,12-08-2022,COD,Delivered
10229,491,17-10-2023,Debit Card,Shipped
10230,442,08-08-2023,Credit Card,Delivered
10231,261,13-06-2022,UPI,Shipped
10232,773,13-03-2022,Wallet,Delivered
10233,350,20-05-2022,Debit Card,Delivered
10234,352,25-12-2022,Credit Card,Delivered
10235,520,02-03-2022,Debit Card,Delivered
10236,320,17-11-2023,Debit Card,Delivered
10237,138,24-05-2022,COD,Delivered
10238,550,22-03-2023,COD,Delivered
10239,623,19-08-2023,COD,Delivered
10240,992,26-11-2023,Credit Card,Returned
10241,368,09-05-2023,Debit Card,Delivered
10242,220,28-06-2023,UPI,Delivered
10243,337,04-07-2022,Wallet,Delivered
10244,223,25-06-2023,COD,Shipped
10245,648,22-06-2023,COD,Returned
10246,768,30-09-2022,Debit Card,Delivered
10247,360,11-11-2022,Debit Card,Delivered
10248,921,02-10-2023,Credit Card,Delivered
10249,329,25-12-2022,Credit Card,Shipped
10250,962,07-03-2023,COD,Delivered
10251,463,05-06-2022,Debit Card,Delivered
10252,946,01-03-2023,UPI,Delivered
10253,963,17-12-2022,Wallet,Delivered
10254,561,14-12-2022,Debit Card,Shipped
10255,804,11-07-2023,Debit Card,Delivered
10256,382,14-07-2023,Credit Card,Delivered
10257,836,24-03-2023,Wallet,Delivered
10258,590,16-11-2023,COD,Returned
10259,617,08-09-2022,Debit Card,Returned
10260,169,27-02-2022,COD,Delivered
10261,217,26-05-2022,Debit Card,Delivered
10262,378,20-03-2023,COD,Cancelled
10263,119,14-01-2023,Wallet,Delivered
10264,190,16-06-2022,Credit Card,Delivered
10265,767,14-06-2022,Wallet,Delivered
10266,370,11-10-2022,UPI,Shipped
10267,778,04-07-2023,Credit Card,Delivered
10268,149,08-07-2023,Wallet,Returned
10269,676,14-12-2022,UPI,Delivered
10270,652,05-03-2023,Debit Card,Delivered
10271,859,06-04-2022,Debit Card,Delivered
10272,488,10-10-2022,COD,Delivered
10273,770,22-03-2023,Credit Card,Delivered
10274,374,08-04-2023,Debit Card,Delivered
10275,781,24-04-2022,Credit Card,Delivered
10276,693,05-02-2023,Debit Card,Cancelled
10277,160,16-08-2022,COD,Shipped
10278,351,07-01-2023,Wallet,Delivered
10279,912,02-02-2023,COD,Delivered
10280,288,01-02-2023,UPI,Delivered
10281,288,25-08-2022,Debit Card,Delivered
10282,892,14-03-2023,UPI,Cancelled
10283,226,10-08-2023,UPI,Delivered
10284,523,08-01-2022,Credit Card,Delivered
10285,522,28-06-2022,Debit Card,Returned
10286,783,12-11-2023,UPI,Delivered
10287,273,09-01-2022,Wallet,Delivered
10288,936,31-10-2023,UPI,Delivered
10289,402,02-06-2023,Wallet,Delivered
10290,183,12-02-2022,Credit Card,Delivered
10291,969,04-05-2022,UPI,Returned
10292,665,27-07-2022,COD,Cancelled
10293,488,30-05-2023,Credit Card,Delivered
10294,827,09-05-2023,Wallet,Shipped
10295,846,14-01-2023,Credit Card,Delivered
10296,124,02-11-2023,UPI,Returned
10297,985,19-04-2022,Debit Card,Delivered
10298,626,17-11-2023,Debit Card,Cancelled
10299,790,23-12-2022,Wallet,Shipped
10300,414,26-03-2022,Wallet,Delivered
10301,980,01-07-2022,Debit Card,Shipped
10302,725,24-12-2022,Wallet,Cancelled
10303,172,30-10-2022,Credit Card,Returned
10304,288,16-10-2023,COD,Delivered
10305,435,30-04-2022,COD,Cancelled
10306,686,30-07-2023,Credit Card,Cancelled
10307,113,09-07-2022,COD,Delivered
10308,888,09-10-2023,UPI,Shipped
10309,917,23-06-2023,Credit Card,Delivered
10310,995,17-03-2022,Wallet,Delivered
10311,122,13-09-2022,Credit Card,Delivered
10312,544,18-04-2023,Debit Card,Delivered
10313,222,17-08-2022,Wallet,Delivered
10314,631,16-09-2022,Debit Card,Delivered
10315,39,28-03-2022,Wallet,Shipped
10316,497,14-03-2022,COD,Delivered
10317,780,19-10-2022,Credit Card,Delivered
10318,233,12-11-2022,UPI,Delivered
10319,943,13-07-2023,Wallet,Delivered
10320,530,19-10-2022,Wallet,Shipped
10321,149,28-04-2023,Debit Card,Delivered
10322,397,14-04-2023,COD,Cancelled
10323,661,22-09-2022,Debit Card,Delivered
10324,638,08-10-2022,Debit Card,Delivered
10325,904,15-02-2022,COD,Delivered
10326,302,14-01-2022,UPI,Delivered
10327,360,18-10-2022,Debit Card,Delivered
10328,238,15-05-2023,Debit Card,Delivered
10329,647,20-07-2023,Wallet,Delivered
10330,663,02-08-2022,COD,Returned
10331,236,14-03-2022,Credit Card,Delivered
10332,736,24-09-2023,UPI,Delivered
10333,203,20-08-2023,UPI,Delivered
10334,256,03-10-2023,COD,Delivered
10335,598,07-10-2023,Wallet,Cancelled
10336,662,24-02-2022,Wallet,Delivered
10337,235,21-05-2023,COD,Delivered
10338,345,20-08-2023,Wallet,Shipped
10339,534,02-08-2023,UPI,Delivered
10340,860,25-10-2023,UPI,Delivered
10341,797,20-12-2022,Credit Card,Delivered
10342,781,03-04-2023,COD,Delivered
10343,466,07-01-2022,Debit Card,Cancelled
10344,770,02-06-2022,Debit Card,Cancelled
10345,541,22-09-2022,Credit Card,Shipped
10346,213,28-11-2023,Credit Card,Delivered
10347,463,26-10-2023,Wallet,Delivered
10348,436,22-02-2023,Credit Card,Returned
10349,283,11-11-2023,Credit Card,Delivered
10350,562,12-05-2023,Debit Card,Delivered
10351,607,05-08-2022,Wallet,Delivered
10352,463,01-03-2022,Credit Card,Delivered
10353,407,23-04-2022,Credit Card,Delivered
10354,88,20-08-2023,Wallet,Cancelled
10355,44,12-11-2023,COD,Cancelled
10356,461,21-08-2022,Wallet,Delivered
10357,278,05-01-2022,Debit Card,Delivered
10358,683,21-10-2023,COD,Delivered
10359,421,04-07-2023,UPI,Cancelled
10360,701,20-05-2023,Wallet,Delivered
10361,353,16-10-2022,Debit Card,Returned
10362,696,01-11-2022,COD,Delivered
10363,515,06-08-2023,Wallet,Delivered
10364,703,03-11-2022,Credit Card,Delivered
10365,630,24-05-2022,Wallet,Returned
10366,19,23-05-2023,UPI,Delivered
10367,23,03-07-2022,Wallet,Delivered
10368,413,25-05-2022,COD,Delivered
10369,30,20-08-2022,COD,Returned
10370,807,08-04-2023,Wallet,Cancelled
10371,108,23-11-2022,COD,Delivered
10372,367,19-02-2023,Credit Card,Cancelled
10373,281,04-04-2022,Wallet,Delivered
10374,128,25-09-2023,Credit Card,Delivered
10375,229,27-05-2022,Credit Card,Delivered
10376,111,05-03-2023,Debit Card,Delivered
10377,136,17-06-2022,Wallet,Returned
10378,362,11-10-2022,COD,Returned
10379,186,24-08-2022,Credit Card,Delivered
10380,656,29-10-2022,Debit Card,Delivered
10381,584,12-05-2022,Wallet,Cancelled
10382,129,10-03-2022,Wallet,Shipped
10383,876,05-08-2023,UPI,Delivered
10384,261,21-09-2022,UPI,Shipped
10385,515,13-05-2022,Credit Card,Delivered
10386,449,07-07-2022,UPI,Delivered
10387,900,04-05-2022,Credit Card,Cancelled
10388,104,23-07-2022,COD,Delivered
10389,483,05-02-2022,Credit Card,Delivered
10390,224,13-07-2023,UPI,Delivered
10391,832,19-11-2022,COD,Cancelled
10392,874,06-10-2022,UPI,Cancelled
10393,866,25-03-2023,Credit Card,Delivered
10394,491,20-02-2022,Debit Card,Delivered
10395,473,16-11-2022,Wallet,Delivered
10396,10,09-08-2022,UPI,Delivered
10397,405,10-12-2022,Credit Card,Delivered
10398,896,12-07-2022,COD,Returned
10399,302,27-10-2023,UPI,Delivered
10400,231,30-04-2023,UPI,Delivered
10401,731,03-11-2022,Wallet,Delivered
10402,923,04-07-2023,Credit Card,Delivered
10403,66,31-10-2023,Debit Card,Shipped
10404,937,28-09-2022,COD,Delivered
10405,112,25-06-2022,Credit Card,Delivered
10406,13,22-04-2022,COD,Delivered
10407,393,06-01-2023,UPI,Delivered
10408,500,11-01-2023,Wallet,Delivered
10409,932,04-10-2022,Wallet,Delivered
10410,598,03-11-2023,Debit Card,Delivered
10411,234,06-11-2023,Wallet,Delivered
10412,602,04-07-2023,UPI,Delivered
10413,314,02-06-2023,Debit Card,Delivered
10414,566,18-03-2023,Credit Card,Shipped
10415,12,07-11-2023,Wallet,Delivered
10416,209,12-04-2022,Debit Card,Delivered
10417,974,23-05-2022,UPI,Delivered
10418,14,15-06-2023,COD,Delivered
10419,633,28-11-2022,COD,Returned
10420,418,09-10-2023,UPI,Delivered
10421,437,29-01-2023,UPI,Returned
10422,377,04-10-2022,COD,Delivered
10423,20,19-03-2022,Debit Card,Delivered
10424,587,03-03-2023,COD,Returned
10425,912,26-05-2023,UPI,Delivered
10426,755,01-12-2023,Wallet,Delivered
10427,735,30-08-2022,Credit Card,Delivered
10428,70,27-07-2022,Wallet,Returned
10429,824,12-06-2023,Wallet,Delivered
10430,211,22-05-2023,UPI,Cancelled
10431,101,20-12-2022,COD,Delivered
10432,698,06-11-2023,Debit Card,Cancelled
10433,132,12-12-2022,Wallet,Delivered
10434,623,05-08-2022,COD,Returned
10435,381,20-09-2023,Debit Card,Delivered
10436,132,08-08-2022,Wallet,Shipped
10437,20,07-05-2023,Debit Card,Delivered
10438,906,03-09-2022,COD,Delivered
10439,536,12-03-2022,Credit Card,Delivered
10440,227,20-02-2023,COD,Delivered
10441,154,18-09-2023,UPI,Delivered
10442,805,16-02-2022,Debit Card,Shipped
10443,742,09-08-2023,Credit Card,Shipped
10444,469,07-02-2023,Debit Card,Delivered
10445,822,25-11-2022,Debit Card,Shipped
10446,1000,02-02-2022,Wallet,Delivered
10447,871,10-06-2023,UPI,Delivered
10448,405,25-03-2022,Debit Card,Returned
10449,202,31-08-2023,COD,Delivered
10450,38,14-10-2023,COD,Shipped
10451,942,05-07-2023,Wallet,Delivered
10452,772,28-08-2022,UPI,Delivered
10453,188,04-09-2022,UPI,Delivered
10454,57,14-11-2023,COD,Delivered
10455,941,25-03-2022,Credit Card,Delivered
10456,20,24-07-2022,Wallet,Shipped
10457,273,16-05-2023,Wallet,Cancelled
10458,119,25-02-2022,COD,Returned
10459,583,03-02-2023,COD,Delivered
10460,516,14-09-2023,Credit Card,Delivered
10461,221,16-09-2023,Credit Card,Delivered
10462,526,18-01-2023,UPI,Delivered
10463,515,11-05-2022,Wallet,Delivered
10464,728,08-02-2023,Wallet,Returned
10465,741,19-04-2022,COD,Delivered
10466,336,25-09-2022,UPI,Delivered
10467,698,11-01-2023,Wallet,Delivered
10468,55,22-08-2022,UPI,Delivered
10469,500,06-04-2022,UPI,Delivered
10470,900,14-11-2023,COD,Shipped
10471,888,24-09-2022,UPI,Delivered
10472,766,26-09-2022,Credit Card,Cancelled
10473,536,01-12-2023,Credit Card,Delivered
10474,162,13-10-2022,Debit Card,Delivered
10475,670,11-11-2022,COD,Delivered
10476,594,31-10-2022,Debit Card,Cancelled
10477,915,12-11-2022,Credit Card,Returned
10478,159,06-08-2023,Debit Card,Delivered
10479,188,28-07-2023,COD,Delivered
10480,60,11-11-2023,COD,Delivered
10481,915,29-01-2022,UPI,Delivered
10482,817,29-12-2022,Wallet,Shipped
10483,319,24-07-2022,UPI,Delivered
10484,878,14-06-2022,COD,Delivered
10485,211,27-02-2022,Credit Card,Delivered
10486,406,30-11-2022,Credit Card,Delivered
10487,664,08-05-2022,UPI,Delivered
10488,109,07-05-2022,COD,Delivered
10489,76,24-06-2022,Credit Card,Returned
10490,542,18-09-2023,COD,Returned
10491,314,17-01-2022,Credit Card,Delivered
10492,998,08-06-2022,COD,Cancelled
10493,117,09-08-2023,Debit Card,Delivered
10494,927,22-09-2022,COD,Delivered
10495,868,10-02-2023,COD,Delivered
10496,704,08-03-2023,UPI,Delivered
10497,19,25-01-2023,Debit Card,Delivered
10498,432,02-07-2022,Wallet,Delivered
10499,685,03-05-2023,UPI,Delivered
10500,740,23-05-2022,Wallet,Shipped
10501,350,18-04-2022,Credit Card,Delivered
10502,183,01-07-2023,Wallet,Delivered
10503,113,05-01-2023,COD,Delivered
10504,183,26-05-2023,Wallet,Delivered
10505,481,27-05-2023,UPI,Delivered
10506,146,02-12-2022,UPI,Cancelled
10507,831,02-12-2022,Wallet,Delivered
10508,628,20-06-2022,UPI,Delivered
10509,113,17-05-2023,UPI,Delivered
10510,763,01-12-2022,Wallet,Delivered
10511,476,15-09-2023,Debit Card,Delivered
10512,763,01-06-2022,Debit Card,Delivered
10513,303,01-11-2023,Credit Card,Delivered
10514,971,14-05-2022,UPI,Delivered
10515,825,29-12-2022,Wallet,Delivered
10516,118,25-06-2023,UPI,Shipped
10517,813,10-05-2023,COD,Delivered
10518,161,06-07-2022,UPI,Cancelled
10519,401,09-06-2023,UPI,Returned
10520,198,08-04-2023,Debit Card,Delivered
10521,260,25-08-2023,Wallet,Delivered
10522,660,01-05-2022,UPI,Delivered
10523,752,16-10-2022,Debit Card,Delivered
10524,47,01-01-2022,Credit Card,Delivered
10525,987,07-01-2023,Debit Card,Returned
10526,399,23-01-2022,Debit Card,Shipped
10527,710,23-01-2023,Debit Card,Delivered
10528,559,10-08-2022,UPI,Delivered
10529,78,28-04-2022,UPI,Delivered
10530,124,11-11-2022,Credit Card,Cancelled
10531,75,26-08-2022,COD,Delivered
10532,871,11-02-2022,COD,Delivered
10533,137,09-10-2022,COD,Returned
10534,602,10-01-2023,Credit Card,Delivered
10535,400,29-07-2023,COD,Shipped
10536,837,26-05-2023,COD,Delivered
10537,505,19-04-2022,Debit Card,Delivered
10538,500,21-03-2023,UPI,Shipped
10539,573,22-03-2022,UPI,Delivered
10540,138,24-02-2022,Debit Card,Delivered
10541,50,22-09-2023,Debit Card,Delivered
10542,771,06-02-2022,Debit Card,Delivered
10543,973,07-05-2022,UPI,Delivered
10544,619,17-03-2022,COD,Delivered
10545,625,15-02-2023,Debit Card,Delivered
10546,862,01-05-2022,Credit Card,Delivered
10547,254,25-02-2023,Debit Card,Returned
10548,630,13-02-2022,Wallet,Cancelled
10549,710,09-11-2022,Debit Card,Delivered
10550,849,10-11-2022,UPI,Delivered
10551,877,04-08-2022,Debit Card,Delivered
10552,563,05-08-2022,Wallet,Delivered
10553,757,18-08-2023,Credit Card,Returned
10554,915,30-04-2022,COD,Returned
10555,426,18-09-2022,Debit Card,Delivered
10556,547,14-04-2023,Wallet,Delivered
10557,302,01-12-2023,Wallet,Delivered
10558,922,11-07-2022,Credit Card,Delivered
10559,581,20-06-2023,UPI,Delivered
10560,349,20-06-2022,Debit Card,Shipped
10561,832,29-09-2022,Wallet,Returned
10562,933,15-10-2023,Credit Card,Delivered
10563,980,03-01-2023,COD,Delivered
10564,49,23-02-2022,Wallet,Shipped
10565,917,13-05-2023,Credit Card,Delivered
10566,74,15-08-2022,UPI,Delivered
10567,704,08-06-2023,UPI,Delivered
10568,261,07-10-2022,Wallet,Cancelled
10569,356,29-10-2023,Wallet,Delivered
10570,582,05-10-2023,Debit Card,Delivered
10571,602,13-02-2023,Credit Card,Cancelled
10572,260,22-10-2022,Wallet,Cancelled
10573,638,25-03-2022,Debit Card,Shipped
10574,743,26-11-2022,Debit Card,Delivered
10575,295,24-01-2023,Wallet,Delivered
10576,931,11-11-2022,UPI,Returned
10577,641,12-04-2023,Credit Card,Returned
10578,792,04-04-2022,Credit Card,Delivered
10579,313,19-07-2023,UPI,Delivered
10580,612,05-08-2023,Wallet,Returned
10581,838,20-05-2023,Credit Card,Returned
10582,809,27-06-2022,Wallet,Delivered
10583,182,30-04-2022,Wallet,Delivered
10584,686,22-07-2022,Debit Card,Delivered
10585,828,23-08-2022,UPI,Delivered
10586,364,28-07-2022,Wallet,Delivered
10587,188,17-09-2023,COD,Delivered
10588,569,29-03-2023,UPI,Delivered
10589,543,09-03-2022,Credit Card,Delivered
10590,596,15-02-2022,Debit Card,Delivered
10591,664,10-10-2023,Credit Card,Cancelled
10592,985,26-09-2022,Credit Card,Delivered
10593,548,02-04-2022,UPI,Delivered
10594,725,11-10-2022,Credit Card,Cancelled
10595,926,26-11-2023,Wallet,Delivered
10596,408,05-09-2022,Credit Card,Shipped
10597,876,12-07-2022,Debit Card,Cancelled
10598,618,23-11-2023,Debit Card,Delivered
10599,414,21-10-2022,COD,Shipped
10600,342,11-05-2022,Debit Card,Delivered
10601,220,02-08-2023,Credit Card,Delivered
10602,903,07-07-2023,Debit Card,Delivered
10603,163,27-02-2023,UPI,Delivered
10604,951,20-09-2023,Debit Card,Shipped
10605,220,03-09-2022,Wallet,Delivered
10606,270,11-05-2022,UPI,Delivered
10607,632,13-03-2023,COD,Delivered
10608,906,26-10-2023,Wallet,Delivered
10609,848,16-06-2023,Credit Card,Delivered
10610,400,20-09-2023,Credit Card,Delivered
10611,182,22-10-2023,Credit Card,Cancelled
10612,991,16-01-2023,Wallet,Delivered
10613,618,11-03-2023,Wallet,Cancelled
10614,729,30-06-2023,Wallet,Delivered
10615,205,30-06-2022,UPI,Returned
10616,582,17-05-2022,UPI,Returned
10617,556,07-03-2022,Credit Card,Delivered
10618,841,03-04-2023,Debit Card,Delivered
10619,813,23-10-2023,Credit Card,Cancelled
10620,228,11-05-2022,COD,Delivered
10621,696,08-10-2022,UPI,Shipped
10622,619,06-08-2023,Wallet,Delivered
10623,596,03-11-2023,UPI,Delivered
10624,850,04-05-2022,Wallet,Delivered
10625,250,18-09-2023,COD,Shipped
10626,875,16-07-2022,COD,Delivered
10627,441,17-04-2022,UPI,Cancelled
10628,533,20-09-2023,Wallet,Cancelled
10629,196,04-06-2023,COD,Delivered
10630,690,17-05-2022,Credit Card,Delivered
10631,929,07-11-2022,Credit Card,Returned
10632,987,16-11-2022,Wallet,Delivered
10633,519,17-02-2023,UPI,Returned
10634,70,15-08-2022,COD,Delivered
10635,639,17-02-2022,UPI,Delivered
10636,399,01-09-2023,Credit Card,Returned
10637,978,10-10-2023,COD,Delivered
10638,672,17-10-2022,UPI,Delivered
10639,760,30-08-2023,Debit Card,Delivered
10640,203,19-08-2022,Wallet,Delivered
